Anio,Fecha,Segmento,Marca,Modelo,Valor,Modelo_Original,Archivo_Origen
2018,2018-01-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,106,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,116,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-03-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,108,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-04-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,69,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-05-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,96,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-06-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,166,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-07-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,85,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-08-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,62,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-09-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,50,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-10-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,89,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-11-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,81,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-12-01,Segmento A Sedan,HYUNDAI,HYUNDAI I-10 SEDAN,102,HYUNDAI I-10 SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-01-01,Segmento A Sedan,SUZUKI,SUZUKI SWIFT D ZIRE SEDAN,13,SUZUKI SWIFT D ZIRE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Sedan,SUZUKI,SUZUKI SWIFT D ZIRE SEDAN,31,SUZUKI SWIFT D ZIRE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-03-01,Segmento A Sedan,SUZUKI,SUZUKI SWIFT D ZIRE SEDAN,20,SUZUKI SWIFT D ZIRE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
